German	जर्मन
dump	थुपारिएको
globalization	विश्वव्यापीकरण
ASSOCIATION	संघद्वारा
passports	पासपोर्ट
Dock	इन्टेक
remembers	सम्झे
geared	आवश्यकताको
Bedfordshire	शम्भुनाथ
hospitalized	पनि बिरामी
Halle	खिलानाथ
sounded	सुन्दा पनि
societal	पनि समाजमा
strained	चिसिएको
stalls	स्टल
messaging	म्यासेन्जर
witchcraft	बोक्सी
Carver	मोहनराज
Grimm	पल्पसा
obesity	मोटोपना
Hinduism	हिन्दू धर्म
porcelain	गलैंचा
renal	कलेजोको
Guest	अतिथि
descends	तलतिर
endured	भोगेको
traveller	यात्री
anthologies	कृतिहरू
guarantees	प्रत्याभूति
greeted	ओर्लिएका
nad	१–२
surveying	स्थलगत
porn	मोडलिङ
maternity	प्रसुति
stature	कद
installing	जडान
excitement	उत्साह
Bellevue	काभ्रे
sculpted	मूर्तिको
Shapiro	प्रसाईं
Flint	जनकबहादुर
Cantonese	नेपाली भाषामै
credibility	विश्वसनीयता
Marathon	म्याराथनको
revisions	परिमार्जन
Cavendish	रो
distributions	गणना
Slade	बिर
climates	हावापानी
pencil	पेन्सिल
Westchester	भक्तपुर र
jong	थापाको
Councillor	मुख्यमन्त्रीमा
creditors	निक्षेपकर्ताको
BRIGADE	चक्रे
mike	सुबास
woven	धागो
Reuben	र दिनेश
bathing	नुहाउने
Goldstein	न्यौपाने र
pediatric	स्त्रीरोग विशेषज्ञ
ben	लिम्बुले
consultants	कन्सल्टेन्ट
ching	लामाका
leopard	चितुवा
simulated	रोबोटले
environmentally	वातावरणमैत्री
Lacrosse	एपिएफ र
sour	अमिलो
Hobbs	स्मिथ र
useless	व्यर्थ
tactic	निसाना
Economic	परिसंघले
designations	मापदण्डका
denies	भनिरहेको
narrower	तलसम्म
warehouses	गोदाम
laughter	हाँसो
aspirations	आकांक्षालाई
advisers	सल्लाहकारको
distorted	विकृत
methane	मिथेन
Winslow	विलियम
mont	सोलुखुम्बुमा
bargaining	पेलेर
taxpayer	करबाट
Leach	स्मिथले
straightforward	सरल
swinging	बजाउदै
aristocracy	शासक र
kolkata	कोलकाता
Zachary	सुशिल
NETWORK	फर
notch	प्वाइन्ट
skeptical	तर यसबारे
CBE	सिहं
Fifa	विश्वकप
Violet	पिंक
charismatic	प्रखर
Ancestry	मूलका
libel	मानहानी
upgrading	स्तरोन्नती
carvings	कुँदिएका
prima	बन्नुमा
pastures	खेतबारीमा
persisted	पनि कायमै
nomenclature	अनुसारका
Deck	डबल
recommends	परामर्शमा
coded	मेटिएको
Tomas	बुढाथोकीलाई
abandoning	नै छाडेर
Dorchester	काठमाडौँको
Wellesley	छाउनी
recounted	सुनेका
novice	यार्सा
marital	वैवाहिक
Convent	आश्रम
fatally	घटनास्थलमै
outsider	लाहुरे
royalties	रोयल्टी
evenly	मिलाएर
Newtown	पाखापानी
arte	अभियानका
Swami	बुद्धको
flu	फ्लू
footballers	खेलाडीहरु
durable	टिकाउ
envoy	दूत
disadvantaged	पनि गरिब
Spurs	बुट
gratitude	दुखमा
Sabah	मलेसियाको
Jimmie	ज्याक्सन
cleaned	पनि सफा
Volvo	महिन्द्रा
kissing	चुम्बन
ceasefire	युद्धविराम
elk	रतुवा
laptop	ल्यापटप
kindness	दयालु
cosmetic	कस्मेटिक
Leah	र शर्मिला
Aquatics	पौडीमा
AMBASSADOR	राजदूत दीपकुमार
Reuters	बीबीसी
grading	ग्रेडिङ
realities	परिवेश र
impoverished	गरिब
Fairchild	म्याक्स
bala	रामारोशन
crises	सङ्कट
feasible	पनि सम्भव
vitamin	एसिडको
ignorance	अज्ञानता
Expansion	जेठसम्म
Gentry	थरका
BARON	नेता प्रकाशमान सिंह
pleas	बुदे
Nagar	वीरगञ्ज र
ACTION	लालबाबु
sewing	सिलाइ
forehead	निधार
Sabine	महेश्वर
defenceman	बललाई
enriched	युक्त
cocktail	चुस्की
forgiveness	पश्चात्ताप
indicative	संकेत पनि
Mandy	रेश्मा
vegetarian	शाकाहारी
Goethe	देवकोटाको
remotely	रिमोट
unsuitable	अनुपयुक्त
robbed	लुटेर
worshipped	देवताको
dislike	पनि मन
Ram	साई
enthusiast	पारखी
1731	राणाका
fascinated	हुरुक्कै
magnesium	म्याग्नेसियम
Tarzan	ऋषिले
laude	युनिभर्सिटीबाट
cursed	श्राप
populace	जनताहरू
Hagen	भास्कर
Motorola	एप्पल
Hackett	शेर्पा
balloons	बेलुन
ratification	संसदबाट
wasted	पनि खेर
Oboe	थें
philanthropy	समाजसेवा
Travel	ट्राभल
routines	बानी पनि
Hepburn	मनीषाले
vaccines	भ्याक्सिन
Battista	सिंहका
kay	भुजेलको
cremated	पोस्टमार्टमका
onstage	स्टेजमा
trousers	पाइन्ट
Killer	चारो
Jarrett	रायन
copying	कपी
fisher	घिमिरेले
Seton	भैरहवाले
Spike	जोडि
wounding	गोली
baccalaureate	एसएलसी
restrictive	अव्यावहारिक
Angie	सबिता
lauded	प्रशंसा पनि
unsafe	जोखिमपूर्ण
handicapped	अशक्त र
homecoming	बिजया
chariot	रथ
billionaire	अर्बपति
utilization	पनि उपयोग
lush	हराभरा
Peyton	वी
ludwig	भट्टराइको
candle	मैनबत्ती
luggage	लगेज
bending	कोल्टे
Malvern	भकुण्डे
Bertram	इश्वरी
symposium	अन्तरक्रिया र
secretaries	र मन्त्रीको
jung	रेग्मीको
signage	फ्लेक्स
consultative	सम्मेलनले
socialists	लोकतन्त्रवादी
moonlight	जुनेली
FORCE	रक्षामन्त्री
Amman	दोहा
apprenticed	पेसाले
Gamma	झालाई
pedestrians	पैदलयात्रु
Colliery	सिद्धबाबा
staunch	कट्टर
slept	सुत्न
crowns	मुकुट
