eight	අට
definitions	නිර්වචන
Kensington	නුගේගොඩ
hurdles	පැනීමේ
packaging	ඇසුරුම්
attachment	ඇති බැඳීම
Enrique	ඩි
dignity	ගරුත්වය
jewelry	ආභරණ
rails	පීලි
beneficial	හිතකර
Suzanne	නාලනී
gases	වායු
THAT	යෑයි
pigs	ඌරන්
Bernie	රවී
Desmond	මැල්
drowned	මුහුදට
guerrilla	ගරිල්ලා
unmarried	අවිවාහක
Atkinson	ඇන්ඩර්සන්
overs	ඕවර
Eli	බැරී
pronunciation	උච්චාරණය
supplier	සැපයුම්කරු
guilt	සැකය නිසා
sanctions	සම්බාධක
alternatives	විකල්ප
contemporaries	සමකාලීනයන්
monopoly	ඒකාධිකාරයක්
mu	යක
silicon	සිලිකන්
MUSIC	ගීතයක්‌
platoon	කොමාන්ඩෝ
marijuana	කංසා
jumped	පැන්න
obstacles	බාධක
posters	පෝස්ටර්
entrepreneurs	ව්‍යවසායකයන්
contractors	කොන්ත්‍රාත්කරුවන්
fishermen	ධීවරයන්
Einstein	අයින්ස්ටයින්
Cynthia	දිල්රුක්ෂි
washed	සේදී
finances	පරිපාලනය
autobiographical	කෙටිකතාවක්
sauce	නූඩ්ල්ස්
instantly	ක්ෂණයකින්
Cody	පසන්
foreigners	විදේශිකයන්
markers	සලකුණු
socio	සමාජීය
bags	බෑග්
dams	ජලාශ
illusion	මායාවක්
unused	ඉතුරුව
enthusiasm	උනන්දුව
meanings	අර්ථයන්
geometric	ජ්‍යාමිතික
spends	ගෙවමින්
pizza	කොත්තු
wholesale	අලෙවි
brutal	අමානුෂික
currents	ප්‍රවාහය
boycott	වර්ජනය
observing	නිරීක්ෂණය
subtle	සියුම්
ions	අයන
unhappy	කලකිරීමෙන්
surveyor	මිනින්දෝරු
photographers	ඡායාරූප ශිල්පීන්
fibers	තන්තු
Avery	ග්‍රැන්විල්
overthrow	කුමන්ත්‍රණකරුවන්
Pike	සරණපාල
dig	හාරලා
Cromwell	බ්‍රවුන්රිග්
rains	වර්ෂාව
dug	හාරා
anymore	ඒත් දැන් එහෙම
capitalism	ධනවාදය
entertaining	රසවත්
catching	ඇල්ලීමට
killings	ඝාතනය
PARTY	පක්‌ෂය
lesson	පාඩම
mistakes	අතපසුවීම්
applicants	අයදුම්කරුවන්
ethnicity	ජනවර්ගය
earthquakes	භූමිකම්පා
obligation	කොන්දේසිය
jokes	විහිළු කතා
escorted	රථයකින් පැමිණි
desktop	පරිගණකයේ
checks	චෙක්
Civic	මැතිඳුන්ගේ
destructive	විනාශකාරී
hydroelectric	ජලවිදුලි
headmaster	විදුහල්පති
satisfaction	තෘප්තිය
Barber	වීරසේකර
bottles	බෝතල්
arrows	ඊතල
intellectuals	බුද්ධිමතුන්
deities	දෙවිවරුන්
Perez	ඉද්දමල්ගොඩ
enthusiastic	උද්යෝගිමත්
corpse	සිරුර
wax	ඉටි
Otis	විල්බට්
deported	පිටුවහල්
insane	පිස්සෙක්
nude	උඩුකය
infants	ළදරුවන්
contexts	භාවිතයන්
weakness	දුර්වලතාවය
considerations	සැලකිල්ලට
equilibrium	සමතුලිත
morality	සදාචාරය
apps	ඇප්ස්
attorneys	නීතිඥවරුන්
electrons	ඉලෙක්ට්‍රෝන
laugh	හිනාවෙනවා
buttons	බොත්තම්
businessmen	ව්‍යාපාරිකයන්
twisted	වැල
hatred	වෛරය
hanged	එල්ලා මරා
purchases	මිලදී
transporting	ප්‍රවාහනය
sensory	සංවේදන
harmful	අහිතකර
barrels	බැරල්
crystals	ස්ඵටික
justified	යුක්තිසහගත
buyers	ගැනුම්කරුවන්
abdomen	උදරය
Leroy	වීරසිංහ
Hercules	මහෝදර
ambush	මරාගෙන
promptly	වහාම
Alicia	සුජානි
mess	ස්ටාෆ්
handsome	කඩවසම්
deficiency	ඌනතා
arising	නිසා හටගන්නා
Quentin	ප්‍රගීත්
viruses	වෛරස
cinemas	සිනමාශාලා
potassium	සෝඩියම්
musicals	නාට්‍ය
Shropshire	රත්නපුර
lenses	කාච
Jasper	බලන්ගොඩ
sounding	හඬකින්
ugly	කැත
motorcycles	මෝටර් සයිකල්
thoroughly	හොඳින්
pumps	පොම්ප
sticks	කෝටු
flavor	රසය
analysts	විශ්ලේෂකයන්
Denise	නිරෝෂා
jealous	තරහා
ideological	මතවාදී
lamps	ලාම්පුවක්
Labor	කම්කරු හා කම්කරු
pleased	ඒ ගැන සතුටු
quotes	උපුටා
Sid	යස්
Rae	සිරිමා
disasters	විපත්
sympathy	අනුකම්පාව
chasing	අල්ලන්න
moisture	තෙතමනය
Langley	ධර්මාශෝක
COMPANY	සමාගමක්‌
philosophers	දාර්ශනිකයන්
Africans	අප්‍රිකානුවන්
amenities	පහසුකම්
rhythms	රිද්මය
algae	ඇල්ගී
lips	තොල්
plaster	බදාම
Aristotle	ඇරිස්ටෝටල්
Hussain	හසන්
Districts	දිස්ත්‍රික්ක
recipes	වට්ටෝරු
divers	කිමිදුම්කරුවන්
accountant	ගණකාධිකාරි
nu	අම
colorful	වර්ණවත්
conclusions	නිගමන
Russ	ජයනාත්
pants	කලිසම
Melville	වීදාගම
enthusiasts	ලෝලීන්
periodically	වරින්වර
FILM	චිත්‍රපටයක්‌
diaries	දිනපොත්
limbs	අතපය
cart	බයිසිකලේ
elephants	ඇතුන්
wires	කම්බි
kitty	නිලූ
Z	ස්
glucose	කොලෙස්ටරෝල්
imports	ආනයන
warnings	ඇඟවීම්
recycling	ප්‍රතිචක්‍රීකරණය
mourning	ශෝක
disguise	වෙස්
electromagnetic	චුම්බක
Phyllis	ශ්‍රියානි
indicator	දර්ශකයක්
Terence	චන්දන
Agent	ඩග්ලස්
SERVICE	සේවාවක්‌
instability	අස්ථාවරත්වය
Lenin	ලෙනින්
nationalists	බෙදුම්වාදීන්
Carla	නිර්මලා
182	225
prosecutors	අධිකරණය
washing	සෝදන
archaeologists	පුරාවිද්‍යාඥයන්
criticisms	විවේචන
requesting	දන්වා
suppliers	සැපයුම්කරුවන්
malaria	මැලේරියාව
digits	ඉලක්කම්
clad	රෙද්දකින්
Treasurer	ලේකම්
inappropriate	නොමනා
Freud	ෆ්‍රොයිඩ්
proceeding	යෑමට
cavity	කුහරය
priorities	ප්‍රමුඛතා
honoring	උපහාර
Gillespie	කැමිලස්
incorrectly	වැරදීමකින්
Eileen	මහත්මිය
opener	විද්දා
Elmer	ගුණපාල
cylinders	සිලින්ඩර්
mafia	මාෆියා
meaningful	අර්ථවත්
Janata	කොංග‍්‍රස්
exhausted	පීඩිතව
concealed	සඟවා
congestion	තදබදය
sins	පාපයන්
hears	ඇසී
Blanche	අයිරාංගනී
fireworks	ගිනිකෙළි
thieves	සොරුන්
metabolism	එන්සයිම
painful	වේදනාකාරී
fulfilled	ඉටු
preferences	අරුචිකම්
karate	කරාටේ
linguist	විද්වතෙක්
sediment	රොන්මඩ
Fulham	හැව්ලොක්
meadow	වෙල්යාය
youths	තරුණයන්
abused	අපයෝජනයට
quota	කෝටා
crying	අඬනවා
awaiting	දෙනතුරු
traps	උගුල්
Milford	පොල්වත්ත
Rand	ඩන්කන්
Melvin	හේවගේ
Plato	ප්ලේටෝ
comedic	ප්‍රහසන
capitalist	ධනවාදී
immortal	අමරණීය
cigarettes	සිගරට්
smuggling	ජාවාරම්
Allah	අල්ලාහ්
discarded	ඉවත
medicines	ඖෂධ
desires	ආශාවන්
bikes	බයිසිකල්
medicinal	ඖෂධීය
scenery	සුන්දරත්වය
Clint	චාමි
urine	මුත්‍රා
Zach	කසුන්
unfair	අසාධාරණ
blunt	දික්
ventilation	වාතාශ්‍රය
calculation	ගණනය
betrayed	පාවා
deciduous	ශාකය
checked	පරීක්ෂා
Levin	උපාලි ද
Gwen	මලී
masterpiece	නිර්මාණයක්
dye	ඩයි
dare	මොක
Rory	අෂාන්
parental	දෙමව්පිය
fins	වරල්
sweeping	නංවමින්
narration	දෙබස්
vertically	සිරස්
salaries	වැටුප්
commemorative	සමරු
fibre	ෆයිබර්
adulthood	වයසේදී
aristocratic	වංශවත්
Wilder	ඩීමන්
whales	තල්මසුන්
Mckinley	ලින්කන්
hats	තොප්පි
spies	ඔත්තුකරුවන්
Debut	කඳුළක්
urdu	උර්දු
rigorous	ප්‍රායෝගික
expenditure	වියදම්
Wheeler	අර්වින්
expecting	බලාපොරොත්තුවෙන්
indicators	දර්ශක
hobby	විනෝදාංශයක්
Goddard	කොලින්ස්
shale	නිධි
insurgents	කැරලිකරුවන්
abuses	අකටයුතුකම්
bandwidth	පරාස
deception	බොරුව
Mccormick	ග්ලෙන්
est	ඇත”
Coordinator	සම්බන්ධීකාරක
subset	කාණ්ඩයක්
Putin	පුටින්
er	මැදය
Padres	තිබුනේ
spectral	පරාසයේ
Wilkins	රුද්‍රිගු
procurement	සැපයීම්
Hamas	හමාස්
orphanage	නිවාසයක
upward	ඉහලට
quietly	නිහඬව
incentives	දිරිගැන්වීම්
slowed	අඩාල
nutrients	පෝෂක
poster	පෝස්ටරයක්
chased	ලුහුබැඳ
medications	ප්‍රතිජීවක ඖෂධ
efficiently	කාර්යක්ෂමව
stupid	මේ වගේ මෝඩ
manually	ස්වයංක්‍රීයව
Seneca	රත්න
airplay	හිට්
Jarvis	සේනාධීර
MILLION	ලක්‌ෂ
robotic	රොබෝ
digging	හෑරීම
Corpus	ඞී
paramilitary	කල්ලි
regret	පසුතැවීමක්
Cumbria	කල්තොට
stakeholders	පාර්ශවකරුවන්
Ace	රයිටර්
subsidies	සහනාධාර
asleep	නිදාගෙන
grassroots	ව්‍යාපාරයක්
cinematic	සිනමාත්මක
thy	නුඹේ
gossip	ඕපාදූප
Barclay	හපුගොඩ
mustered	සේනාවට
drowning	දියේ
weddings	උත්සව
Tory	මිලිබෑන්ඩ්
schedules	කාලසටහන
